# V3.5 state signal is declared PLC state-role naming inferred from V2 symbol text and PLC-BEAD sample metadata. It is not binary-byte state inference. It is not runtime state-machine recovery (contrast: Ta'veren NDSS 2026). It is not function-boundary code-region recovery (contrast: PLC-BinX arXiv 2026). Completeness is auditability, not classification accuracy. Direct comparison to A1/A2/Q4/V2 F1 is prohibited.
fold_id,split_scope,ablation,rule_partition,toolchain,sample_count,ec4_mean,ec4_variance,ec4_fill_distribution,c1_spread_non_codesys,c1_pass,c2_toolchains_passing_variance,c2_pass,interpretation,evidence_label
fold_0,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",CODESYS,53,0.500000,0.000000,53x0.5,0.289855,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_0,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",GEB,69,0.789855,0.060912,29x0.5; 40x1.0,0.289855,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_0,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv2,70,0.500000,0.000000,70x0.5,0.289855,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_0,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv3,72,0.500000,0.000000,72x0.5,0.289855,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_0,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,53,0.500000,0.000000,53x0.5,0.002114,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_0,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,69,0.550725,0.022789,62x0.5; 7x1.0,0.002114,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_0,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv2,70,0.550000,0.022500,63x0.5; 7x1.0,0.002114,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_0,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv3,72,0.548611,0.021943,65x0.5; 7x1.0,0.002114,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_0,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,53,0.500000,0.000000,53x0.5,0.255737,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_0,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,69,0.804348,0.059546,27x0.5; 42x1.0,0.255737,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_0,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv2,70,0.550000,0.022500,63x0.5; 7x1.0,0.255737,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_0,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv3,72,0.548611,0.021943,65x0.5; 7x1.0,0.255737,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_1,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",CODESYS,55,0.500000,0.000000,55x0.5,0.308824,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_1,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",GEB,68,0.808824,0.059040,26x0.5; 42x1.0,0.308824,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_1,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv2,67,0.500000,0.000000,67x0.5,0.308824,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_1,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv3,71,0.500000,0.000000,71x0.5,0.308824,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_1,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,55,0.500000,0.000000,55x0.5,0.008011,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_1,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,68,0.536765,0.017031,63x0.5; 5x1.0,0.008011,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_1,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv2,67,0.544776,0.020383,61x0.5; 6x1.0,0.008011,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_1,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv3,71,0.542254,0.019341,65x0.5; 6x1.0,0.008011,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_1,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,55,0.500000,0.000000,55x0.5,0.273923,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_1,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,68,0.816176,0.058121,25x0.5; 43x1.0,0.273923,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_1,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv2,67,0.544776,0.020383,61x0.5; 6x1.0,0.273923,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_1,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv3,71,0.542254,0.019341,65x0.5; 6x1.0,0.273923,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_2,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",CODESYS,54,0.500000,0.000000,54x0.5,0.298507,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_2,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",GEB,67,0.798507,0.060147,27x0.5; 40x1.0,0.298507,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_2,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv2,68,0.500000,0.000000,68x0.5,0.298507,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_2,test_only,A_SYMBOL_ONLY,"SA-001,SA-002,SA-003,SA-004",OpenPLCv3,69,0.500000,0.000000,69x0.5,0.298507,true,1,false,symbol_only_signal_defensible,DERIVED_EVIDENCE
fold_2,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,54,0.500000,0.000000,54x0.5,0.001947,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_2,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,67,0.567164,0.029071,58x0.5; 9x1.0,0.001947,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_2,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv2,68,0.566176,0.028709,59x0.5; 9x1.0,0.001947,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_2,test_only,B_METADATA_ONLY,"SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",OpenPLCv3,69,0.565217,0.028355,60x0.5; 9x1.0,0.001947,false,0,false,criterion_not_met,DERIVED_EVIDENCE
fold_2,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",CODESYS,54,0.500000,0.000000,54x0.5,0.240753,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
fold_2,test_only,C_FULL,"SA-001,SA-002,SA-003,SA-004,SA-005,SA-006,SA-007,SA-008,SA-009,SA-010,SA-011,SA-012,SA-013,SA-014,SA-015,SA-016,SA-017,SA-018,SA-019,SA-020",GEB,67,0.805970,0.059367,26x0.5; 41x1.0,0.240753,true,1,false,combined_signal_passes_locked_criterion,DERIVED_EVIDENCE
