representation_id,query_id,audit_question,answerable_from_representation,evaluation_mode,interpretation_boundary,evidence_label
AGGREGATE_ONLY,Q1_population_count,Recover population count,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q2_sample_identity_hash,Locate a sample and its content hash,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q3_raw_observation,Locate a sample-level raw tool observation,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q4_tool_version,Recover the configured tool version,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q5_reason_text,Recover the recorded reason for unavailable output,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q6_source_hash,Recover a mapped source content hash,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q7_claim_observation_trace,Traverse a typed claim/field-to-observation trace,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q8_negative_vs_unobserved,Distinguish rule-not-supported from unobserved tool gap,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q9_closure_completeness,Verify that every unsupported/unobserved field is closed,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q1_population_count,Recover population count,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q2_sample_identity_hash,Locate a sample and its content hash,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q3_raw_observation,Locate a sample-level raw tool observation,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q4_tool_version,Recover the configured tool version,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q5_reason_text,Recover the recorded reason for unavailable output,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q6_source_hash,Recover a mapped source content hash,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q7_claim_observation_trace,Traverse a typed claim/field-to-observation trace,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q8_negative_vs_unobserved,Distinguish rule-not-supported from unobserved tool gap,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q9_closure_completeness,Verify that every unsupported/unobserved field is closed,False,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q1_population_count,Recover population count,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q2_sample_identity_hash,Locate a sample and its content hash,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q3_raw_observation,Locate a sample-level raw tool observation,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q4_tool_version,Recover the configured tool version,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q5_reason_text,Recover the recorded reason for unavailable output,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q6_source_hash,Recover a mapped source content hash,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q7_claim_observation_trace,Traverse a typed claim/field-to-observation trace,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q8_negative_vs_unobserved,Distinguish rule-not-supported from unobserved tool gap,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
SCAA_BIVARIATE_CONTRACT,Q9_closure_completeness,Verify that every unsupported/unobserved field is closed,True,deterministic_field_and_link_presence,"Representation-query answerability only; not analyst accuracy, completion time, usability, or superiority.",DERIVED_EVIDENCE
