sample_id,program_name,toolchain,fold_id,binary_sha256,source_sha256,source_function_block,production_sa001_status,ungated_pattern_positive,ungated_confusion_category,probe_definition,interpretation_boundary,evidence_label
geb_ACOSH,ACOSH,GEB,fold_1,7a33e87d2ddb7143cc2a238528d643cdd0f14fa5e7c60fe31066de3cccb716c9,844ea889afdf65ecdc4b09538f5ea3ae3a3d9b77bde79082031874296ba42f56,False,False,False,TN,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_ACOTH,ACOTH,GEB,fold_2,1483d44249c99f4bcafcf12e1276cddc2daf7724a423925ff20874450e8f262c,3d1a9db05dd4fd00d8e22c8f4e14b442ec9b2d306693e1dcde22ad098d38f27e,False,False,False,TN,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_ACTUATOR_3P,ACTUATOR_3P,GEB,fold_0,10d6ef60a2948959ec1ba5c74b72062098549c276660215b9c68253db24bc7f5,9f99eda9031c274b946c5bd06e13b02b6f8bbc89aba34143ae1cd3a019c1a169,True,True,True,TP,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_ACTUATOR_COIL,ACTUATOR_COIL,GEB,fold_2,25f2fa68dd1098b71e5debabfd602596485391835fd9a50aa54e41684bba15c6,cb2ee0fef2dd34c669955ca8f0e595bc0b385107d795c91ff46840fc6a2cf545,True,True,True,TP,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_ACTUATOR_PUMP,ACTUATOR_PUMP,GEB,fold_3,af141889ee5488987870b2593004b0b8f597e77f9dafb9eb86387d6f09be135b,029634dbf3666d0c935993c46fb03dac31f8e373b0e987a4a9bf4e4c3f0bb27f,True,True,True,TP,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_ACTUATOR_UD,ACTUATOR_UD,GEB,fold_4,2e31ef7327519b7a7d919d08aae7f82058f42a503e92a220328acdb5a974d7d8,36d2aa634d58e27a55e22dc8d301307ffac0c0100269017d087a9cd5021155d6,True,True,True,TP,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_AGDF,AGDF,GEB,fold_3,0c6f25c5e2510cfd0fec5186365e0fbdab5a04070d6415c7b080acf28dd472c3,db59dfd579da49961d8f7cb7e0bc107aa8f20dbc2336d91619dc23ef8f80aadb,False,False,False,TN,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_AIN,AIN,GEB,fold_0,abccc083cd58dbbc53837a05b3ec474f146df458eaa5ca5f79e769b8fb406ebf,06a927068966aa1e2bacd5a2992196ab08745bd0299aa39ffbea258d45a715b2,False,False,False,TN,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_AIN1,AIN1,GEB,fold_1,eb0917fc95eb1561c6a848a0d74bbeddb9ae42fc1e7c28e387dc95f892d7b1aa,cd2df607c758b65d32c7405f531e7d925c3bda4a67f07896b9e34be4060d689f,True,True,True,TP,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
geb_AIR_DENSITY,AIR_DENSITY,GEB,fold_5,47c3aacfc796dddefb74c9c0ec77437be3bb622f9716cd20be78bd30792ee61b,d1c9d5a104659329201f4f4dacb5abb408a266679bdedfee99ba1b3cd831f928,False,False,False,TN,core_symbol_text contains dt_FB_ without toolchain gate,"Lexical transfer probe only; not runtime semantics, function-boundary correctness, or vulnerability detection.",DERIVED_EVIDENCE
