representation_id,requirement_id,design_requirement,requirement_satisfied,requirement_origin,representation_origin,evaluation_role,interpretation_boundary,evidence_label
AGGREGATE_ONLY,Q1_population_count,Recover population count,True,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q2_sample_identity_hash,Locate a sample and its content hash,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q3_raw_observation,Locate a sample-level raw tool observation,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q4_tool_version,Recover the configured tool version,True,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q5_reason_text,Recover the recorded reason for unavailable output,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q6_source_hash,Recover a mapped source content hash,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q7_claim_observation_trace,Traverse a typed claim/field-to-observation trace,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q8_negative_vs_unobserved,Distinguish rule-not-supported from unobserved tool gap,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
AGGREGATE_ONLY,Q9_closure_completeness,Verify that every unsupported/unobserved field is closed,False,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
FLAT_PROVENANCE,Q1_population_count,Recover population count,True,AUTHOR_DEFINED_FROM_SCAA_REPORT_CONTRACT,AUTHOR_CONSTRUCTED_ENGINEERING_CONTROL,DESIGN_REQUIREMENT_COVERAGE_NOT_EMPIRICAL_BASELINE,"Field/link presence by construction; not analyst performance, empirical advantage, semantic correctness, or comparison with an implemented literature method.",DERIVED_EVIDENCE
